T1O5X2	QxE0D5bNVv	"example_value"	L3I2L4	"ProteinInteraction"
R9Z2R5	6pQiLke1Wl	"example_value"	I9I3V3	"ProteinInteraction"
P6J0V5	9GBw0aj9vz	"example_value"	E9Y8Z6	"ProteinInteraction"
D8S9L9	JwMRCXK2Gn	"example_value"	U3N5A8	"ProteinInteraction"
O1D0J6	PMzJUJxq5Q	"example_value"	T3X7F1	"ProteinInteraction"
O3C6P8	HukYtQ2M4q	"example_value"	U5O9P9	"ProteinInteraction"
S4E2X6	KACbH41GKy	"example_value"	S9H7S1	"ProteinInteraction"
L9R4F1	rF9artdeq8	"example_value"	E5W2X9	"ProteinInteraction"
N6N2B4	yj1VxdUPHG	"example_value"	T4K4Y8	"ProteinInteraction"
Z4B1S7	bseR2YG95h	"example_value"	T8V2E6	"ProteinInteraction"
D3C7Q4	SK9FBJHIgI	"example_value"	J9U3I5	"ProteinInteraction"
L6F4B4	CW2tl7QTot	"example_value"	M9V9X2	"ProteinInteraction"
H0Q6T2	mViVRnFpoZ	"example_value"	S4E2X6	"ProteinInteraction"
DOID:96388618	JbxhzeblAE	"example_value"	D6L1G1	"ProteinInteraction"
DOID:40322434	KOPK402a9l	"example_value"	B8C3O6	"ProteinInteraction"
DOID:67611516	aQ8SblXwLD	"example_value"	C9U1D2	"ProteinInteraction"
DOID:27710040	BZKtbDvGQr	"example_value"	K5A7I4	"ProteinInteraction"
DOID:72549851	KQKNdY4T0e	"example_value"	D6L1G1	"ProteinInteraction"
DOID:77209243	tGliPD7GzH	"example_value"	T4K4Y8	"ProteinInteraction"
DOID:01509755	UfXT3HzzPR	"example_value"	E9Y8Z6	"ProteinInteraction"
DOID:79422645	MZ9EWQUs4D	"example_value"	B3C8B9	"ProteinInteraction"
DOID:95097007	nuVTshw0Ju	"example_value"	F5X8G4	"ProteinInteraction"
DOID:21792406	kc2bmJMBG6	"example_value"	Y2S2U7	"ProteinInteraction"
DOID:31423578	ewkiLAi521	"example_value"	C1Z3T6	"ProteinInteraction"
