P08228	"SOD1"	10090	"protein"	"P08228"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
P62832	"CDK1"	10116	"protein"	"P62832"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
P01106	"MYC"	9606	"protein"	"P01106"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
P42345	"MTOR"	9606	"protein"	"P42345"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
Q63356	"NFKB1"	10116	"protein"	"Q63356"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
P28482	"MAPK1"	9606	"protein"	"P28482"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
P04637	"TP53"	9606	"protein"	"P04637"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
P07901	"HSP90AA1"	10090	"protein"	"P07901"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
P31749	"AKT1"	9606	"protein"	"P31749"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
P04406	"GAPDH"	9606	"protein"	"P04406"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
P00533	"EGFR"	9606	"protein"	"P00533"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
Q9JHW1	"CREB1"	10116	"protein"	"Q9JHW1"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
P12023	"APP"	10090	"protein"	"P12023"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
P62744	"RHOA"	10090	"protein"	"P62744"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
P38398	"BRCA1"	9606	"protein"	"P38398"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
