T1I7N8				"T1I7N8"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
W0D3M0				"W0D3M0"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
R3P6N2				"R3P6N2"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
U6N7L4				"U6N7L4"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
I6F6J5				"I6F6J5"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
H9A9X7				"H9A9X7"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
T1O5X2				"T1O5X2"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
W0R8Y5				"W0R8Y5"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
Y4N0A7				"Y4N0A7"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
S9H7S1				"S9H7S1"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
C9U1D2				"C9U1D2"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
W2M3M7				"W2M3M7"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
P7C9O4				"P7C9O4"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
T8D6X1				"T8D6X1"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
R9Z2R5				"R9Z2R5"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
I9I3V3				"I9I3V3"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
D9O6J2				"D9O6J2"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
A6G8K6				"A6G8K6"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
B4A9O0				"B4A9O0"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
C7M7D1				"C7M7D1"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
E5W2X9				"E5W2X9"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
J1Q3D0				"J1Q3D0"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
P6J0V5				"P6J0V5"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
F4X8N8				"F4X8N8"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
Y2Y6Q2				"Y2Y6Q2"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
P3K9K8				"P3K9K8"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
D8S9L9				"D8S9L9"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
D9K6H7				"D9K6H7"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
I2N7G1				"I2N7G1"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
Q4P6P3				"Q4P6P3"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
D6L1G1				"D6L1G1"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
O1D0J6				"O1D0J6"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
T4K4Y8				"T4K4Y8"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
B8C3O6				"B8C3O6"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
I4D1Y7				"I4D1Y7"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
L3I2L4				"L3I2L4"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
O3C6P8				"O3C6P8"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
P6Z7Y1				"P6Z7Y1"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
Y9J5R4				"Y9J5R4"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
G8H6T8				"G8H6T8"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
Q8O4Y2				"Q8O4Y2"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
S8T3B1				"S8T3B1"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
U5O9P9				"U5O9P9"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
N2V5G3				"N2V5G3"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
S4E2X6				"S4E2X6"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
I5M8G7				"I5M8G7"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
L9R4F1				"L9R4F1"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
U4B9Z9				"U4B9Z9"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
S5C2I3				"S5C2I3"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
Y0L1A4				"Y0L1A4"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
B7W8Q5				"B7W8Q5"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
N6N2B4				"N6N2B4"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
S6R8N7				"S6R8N7"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
T3X7F1				"T3X7F1"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
D0O7P0				"D0O7P0"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
W0B5L9				"W0B5L9"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
U4M4A1				"U4M4A1"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
J9U3I5				"J9U3I5"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
A5W9Z4				"A5W9Z4"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
Z9P5T7				"Z9P5T7"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
E9Y8Z6				"E9Y8Z6"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
P9U2F0				"P9U2F0"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
Z4B1S7				"Z4B1S7"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
F4H3M3				"F4H3M3"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
C6E5X3				"C6E5X3"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
Q8V1W9				"Q8V1W9"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
D3C7Q4				"D3C7Q4"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
O0E4B7				"O0E4B7"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
N6I5K5				"N6I5K5"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
H2T1R4				"H2T1R4"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
O5I4N1				"O5I4N1"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
L6F4B4				"L6F4B4"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
J5C6O5				"J5C6O5"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
Y2S2U7				"Y2S2U7"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
S0D2V4				"S0D2V4"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
U3N5A8				"U3N5A8"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
B3C8B9				"B3C8B9"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
C2Z4V4				"C2Z4V4"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
T8V2E6				"T8V2E6"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
H0Q6T2				"H0Q6T2"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
F5X8G4				"F5X8G4"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
W8B9I0				"W8B9I0"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
G9Q8Y5				"G9Q8Y5"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
E7T0Z1				"E7T0Z1"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
T3J9M5				"T3J9M5"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
G0W3S6				"G0W3S6"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
B7X7D7				"B7X7D7"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
V1W1N9				"V1W1N9"	"uniprot"	"Protein;Polypeptide;BiologicalEntity;NamedThing;Entity"
