C7H8F9	0lttbmaG4k	"example_value"	DOID:69382177	"ProteinToDiseaseAssociation"
S0F4U6	F5JUIDW3fS	"example_value"	DOID:15206514	"ProteinToDiseaseAssociation"
G8H4Y8	CddtBDunfx	"example_value"	DOID:73384520	"ProteinToDiseaseAssociation"
O0W3C1	tbFYEtMoVP	"example_value"	DOID:74078191	"ProteinToDiseaseAssociation"
N3Z2E5	cgpCtMYRMP	"example_value"	DOID:81507764	"ProteinToDiseaseAssociation"
D8J2L6	aAWTtjAN6f	"example_value"	DOID:57075514	"ProteinToDiseaseAssociation"
S3S5D6	dpBfHw3jNV	"example_value"	DOID:75490437	"ProteinToDiseaseAssociation"
D4E5P4	lHy1JREJew	"example_value"	DOID:81960466	"ProteinToDiseaseAssociation"
Y2V0X5	a0pBk8I1im	"example_value"	DOID:20622020	"ProteinToDiseaseAssociation"
N0W7A1	DoCypW5MTC	"example_value"	DOID:57201483	"ProteinToDiseaseAssociation"
C5E9Q2	dABNS097mx	"example_value"	DOID:52502484	"ProteinToDiseaseAssociation"
Y3J3D6	sc1gs5phYl	"example_value"	DOID:57737181	"ProteinToDiseaseAssociation"
M1A4J9	UkvnwXTLmE	"example_value"	DOID:76593992	"ProteinToDiseaseAssociation"
H0X6P0	Wp0vEsjhU6	"example_value"	DOID:76349242	"ProteinToDiseaseAssociation"
Q1Y7Q3	p0HtwLbsmB	"example_value"	DOID:81960466	"ProteinToDiseaseAssociation"
E2O1A0	Ck1JO9Jn9J	"example_value"	DOID:86627128	"ProteinToDiseaseAssociation"
DOID:51119821	CYnBY8ZPAB	"example_value"	DOID:35580330	"ProteinToDiseaseAssociation"
DOID:91492766	xyStKxAg2L	"example_value"	DOID:52502484	"ProteinToDiseaseAssociation"
DOID:33045193	to1S7UfPAo	"example_value"	DOID:46116083	"ProteinToDiseaseAssociation"
DOID:75490437	jnZGtdDpq2	"example_value"	DOID:69382177	"ProteinToDiseaseAssociation"
DOID:96863547	NwSicaKslc	"example_value"	DOID:17944345	"ProteinToDiseaseAssociation"
DOID:93743950	ws2wqfw4As	"example_value"	DOID:73384520	"ProteinToDiseaseAssociation"
DOID:63742537	o8OmXxS9zp	"example_value"	DOID:35907127	"ProteinToDiseaseAssociation"
DOID:09110176	k10KuG8U2T	"example_value"	DOID:39674679	"ProteinToDiseaseAssociation"
DOID:73885722	fZxZqU5L3d	"example_value"	DOID:76593992	"ProteinToDiseaseAssociation"
DOID:35223402	QlvjxNGecX	"example_value"	DOID:49676869	"ProteinToDiseaseAssociation"
DOID:48555632	qUEtZpMU66	"example_value"	DOID:33045193	"ProteinToDiseaseAssociation"
DOID:76349242	4SZF7RmXj1	"example_value"	DOID:02573382	"ProteinToDiseaseAssociation"
DOID:46116083	2YJt1CpyEe	"example_value"	DOID:07379017	"ProteinToDiseaseAssociation"
DOID:40619979	Druae45pnO	"example_value"	DOID:57075514	"ProteinToDiseaseAssociation"
